text,label
gizli plan,1
doğrulandı,0
ifşa edildi,1
resmi açıklama,0
şok gerçek,1
doğrulandı,0
şok gerçek,1
resmi açıklama,0
gizli plan,1
doğrulandı,0
gizli plan,1
doğrulandı,0
ifşa edildi,1
resmi açıklama,0
ifşa edildi,1
bilimsel veri,0
gizli plan,1
resmi açıklama,0
ifşa edildi,1
doğrulandı,0
ifşa edildi,1
bilimsel veri,0
şok gerçek,1
bilimsel veri,0
ifşa edildi,1
resmi açıklama,0
komplo,1
resmi açıklama,0
komplo,1
doğrulandı,0
gizli plan,1
doğrulandı,0
komplo,1
bilimsel veri,0
gizli plan,1
doğrulandı,0
ifşa edildi,1
doğrulandı,0
ifşa edildi,1
resmi açıklama,0
ifşa edildi,1
resmi açıklama,0
gizli plan,1
bilimsel veri,0
gizli plan,1
bilimsel veri,0
gizli plan,1
resmi açıklama,0
gizli plan,1
resmi açıklama,0
komplo,1
bilimsel veri,0
ifşa edildi,1
bilimsel veri,0
ifşa edildi,1
doğrulandı,0
şok gerçek,1
doğrulandı,0
şok gerçek,1
resmi açıklama,0
komplo,1
bilimsel veri,0
şok gerçek,1
resmi açıklama,0
ifşa edildi,1
resmi açıklama,0
ifşa edildi,1
doğrulandı,0
şok gerçek,1
doğrulandı,0
ifşa edildi,1
doğrulandı,0
şok gerçek,1
resmi açıklama,0
ifşa edildi,1
doğrulandı,0
komplo,1
resmi açıklama,0
komplo,1
resmi açıklama,0
şok gerçek,1
resmi açıklama,0
şok gerçek,1
bilimsel veri,0
ifşa edildi,1
bilimsel veri,0
gizli plan,1
resmi açıklama,0
komplo,1
bilimsel veri,0
şok gerçek,1
doğrulandı,0
komplo,1
bilimsel veri,0
şok gerçek,1
bilimsel veri,0
komplo,1
resmi açıklama,0
şok gerçek,1
resmi açıklama,0
gizli plan,1
bilimsel veri,0
gizli plan,1
bilimsel veri,0
komplo,1
bilimsel veri,0
şok gerçek,1
bilimsel veri,0
ifşa edildi,1
bilimsel veri,0
ifşa edildi,1
bilimsel veri,0
şok gerçek,1
doğrulandı,0
şok gerçek,1
doğrulandı,0
komplo,1
bilimsel veri,0
komplo,1
resmi açıklama,0
ifşa edildi,1
bilimsel veri,0
ifşa edildi,1
resmi açıklama,0
şok gerçek,1
bilimsel veri,0
komplo,1
resmi açıklama,0
şok gerçek,1
doğrulandı,0
komplo,1
resmi açıklama,0
ifşa edildi,1
doğrulandı,0
şok gerçek,1
doğrulandı,0
gizli plan,1
resmi açıklama,0
şok gerçek,1
resmi açıklama,0
ifşa edildi,1
resmi açıklama,0
şok gerçek,1
bilimsel veri,0
şok gerçek,1
resmi açıklama,0
şok gerçek,1
resmi açıklama,0
komplo,1
resmi açıklama,0
şok gerçek,1
resmi açıklama,0
komplo,1
resmi açıklama,0
şok gerçek,1
bilimsel veri,0
ifşa edildi,1
bilimsel veri,0
gizli plan,1
bilimsel veri,0
ifşa edildi,1
doğrulandı,0
şok gerçek,1
resmi açıklama,0
şok gerçek,1
bilimsel veri,0
gizli plan,1
resmi açıklama,0
ifşa edildi,1
resmi açıklama,0
şok gerçek,1
doğrulandı,0
şok gerçek,1
resmi açıklama,0
ifşa edildi,1
bilimsel veri,0
ifşa edildi,1
bilimsel veri,0
komplo,1
resmi açıklama,0
komplo,1
resmi açıklama,0
şok gerçek,1
resmi açıklama,0
ifşa edildi,1
resmi açıklama,0
şok gerçek,1
bilimsel veri,0
komplo,1
resmi açıklama,0
ifşa edildi,1
bilimsel veri,0
komplo,1
doğrulandı,0
şok gerçek,1
resmi açıklama,0
gizli plan,1
resmi açıklama,0
komplo,1
resmi açıklama,0
ifşa edildi,1
resmi açıklama,0
komplo,1
doğrulandı,0
komplo,1
doğrulandı,0
ifşa edildi,1
bilimsel veri,0
ifşa edildi,1
doğrulandı,0
şok gerçek,1
bilimsel veri,0
komplo,1
doğrulandı,0
ifşa edildi,1
resmi açıklama,0
komplo,1
resmi açıklama,0
komplo,1
bilimsel veri,0
komplo,1
doğrulandı,0
komplo,1
resmi açıklama,0
şok gerçek,1
doğrulandı,0
şok gerçek,1
resmi açıklama,0
komplo,1
bilimsel veri,0
gizli plan,1
resmi açıklama,0
şok gerçek,1
resmi açıklama,0
komplo,1
doğrulandı,0
gizli plan,1
resmi açıklama,0
şok gerçek,1
bilimsel veri,0
komplo,1
bilimsel veri,0
komplo,1
bilimsel veri,0
komplo,1
doğrulandı,0
ifşa edildi,1
resmi açıklama,0
gizli plan,1
resmi açıklama,0
komplo,1
resmi açıklama,0
gizli plan,1
resmi açıklama,0
gizli plan,1
resmi açıklama,0
ifşa edildi,1
bilimsel veri,0
gizli plan,1
resmi açıklama,0
komplo,1
resmi açıklama,0
gizli plan,1
bilimsel veri,0
komplo,1
bilimsel veri,0
gizli plan,1
bilimsel veri,0
ifşa edildi,1
bilimsel veri,0
şok gerçek,1
doğrulandı,0
gizli plan,1
doğrulandı,0
ifşa edildi,1
doğrulandı,0
şok gerçek,1
doğrulandı,0
gizli plan,1
bilimsel veri,0
ifşa edildi,1
doğrulandı,0
gizli plan,1
bilimsel veri,0
komplo,1
resmi açıklama,0
komplo,1
bilimsel veri,0
şok gerçek,1
resmi açıklama,0
gizli plan,1
resmi açıklama,0
şok gerçek,1
bilimsel veri,0
ifşa edildi,1
doğrulandı,0
komplo,1
doğrulandı,0
ifşa edildi,1
bilimsel veri,0
ifşa edildi,1
bilimsel veri,0
gizli plan,1
bilimsel veri,0
ifşa edildi,1
doğrulandı,0
komplo,1
resmi açıklama,0
ifşa edildi,1
bilimsel veri,0
gizli plan,1
doğrulandı,0
ifşa edildi,1
doğrulandı,0
ifşa edildi,1
bilimsel veri,0
şok gerçek,1
bilimsel veri,0
ifşa edildi,1
bilimsel veri,0
komplo,1
resmi açıklama,0
gizli plan,1
resmi açıklama,0
komplo,1
doğrulandı,0
ifşa edildi,1
doğrulandı,0
komplo,1
doğrulandı,0
şok gerçek,1
resmi açıklama,0
şok gerçek,1
bilimsel veri,0
komplo,1
bilimsel veri,0
şok gerçek,1
bilimsel veri,0
ifşa edildi,1
resmi açıklama,0
ifşa edildi,1
bilimsel veri,0
ifşa edildi,1
doğrulandı,0
ifşa edildi,1
doğrulandı,0
şok gerçek,1
doğrulandı,0
komplo,1
doğrulandı,0
şok gerçek,1
doğrulandı,0
gizli plan,1
resmi açıklama,0
ifşa edildi,1
doğrulandı,0
gizli plan,1
resmi açıklama,0
şok gerçek,1
bilimsel veri,0
ifşa edildi,1
resmi açıklama,0
gizli plan,1
bilimsel veri,0
şok gerçek,1
doğrulandı,0
komplo,1
bilimsel veri,0
şok gerçek,1
resmi açıklama,0
şok gerçek,1
bilimsel veri,0
gizli plan,1
bilimsel veri,0
ifşa edildi,1
resmi açıklama,0
komplo,1
bilimsel veri,0
gizli plan,1
bilimsel veri,0
gizli plan,1
resmi açıklama,0
şok gerçek,1
doğrulandı,0
ifşa edildi,1
doğrulandı,0
ifşa edildi,1
resmi açıklama,0
şok gerçek,1
doğrulandı,0
şok gerçek,1
resmi açıklama,0
şok gerçek,1
resmi açıklama,0
komplo,1
resmi açıklama,0
komplo,1
bilimsel veri,0
komplo,1
bilimsel veri,0
şok gerçek,1
doğrulandı,0
ifşa edildi,1
resmi açıklama,0
gizli plan,1
doğrulandı,0
komplo,1
bilimsel veri,0
ifşa edildi,1
doğrulandı,0
şok gerçek,1
bilimsel veri,0
ifşa edildi,1
doğrulandı,0
gizli plan,1
doğrulandı,0
gizli plan,1
doğrulandı,0
ifşa edildi,1
doğrulandı,0
ifşa edildi,1
bilimsel veri,0
komplo,1
doğrulandı,0
gizli plan,1
bilimsel veri,0
komplo,1
resmi açıklama,0
gizli plan,1
bilimsel veri,0
gizli plan,1
doğrulandı,0
gizli plan,1
doğrulandı,0
şok gerçek,1
resmi açıklama,0
ifşa edildi,1
bilimsel veri,0
ifşa edildi,1
resmi açıklama,0
komplo,1
bilimsel veri,0
ifşa edildi,1
bilimsel veri,0
komplo,1
bilimsel veri,0
şok gerçek,1
bilimsel veri,0
gizli plan,1
bilimsel veri,0
komplo,1
doğrulandı,0
ifşa edildi,1
resmi açıklama,0
gizli plan,1
resmi açıklama,0
komplo,1
bilimsel veri,0
gizli plan,1
resmi açıklama,0
ifşa edildi,1
resmi açıklama,0
gizli plan,1
doğrulandı,0
ifşa edildi,1
doğrulandı,0
gizli plan,1
resmi açıklama,0
ifşa edildi,1
bilimsel veri,0
şok gerçek,1
bilimsel veri,0
şok gerçek,1
doğrulandı,0
komplo,1
doğrulandı,0
gizli plan,1
doğrulandı,0
gizli plan,1
doğrulandı,0
gizli plan,1
bilimsel veri,0
komplo,1
resmi açıklama,0
şok gerçek,1
doğrulandı,0
ifşa edildi,1
bilimsel veri,0
gizli plan,1
resmi açıklama,0
ifşa edildi,1
resmi açıklama,0
komplo,1
resmi açıklama,0
ifşa edildi,1
doğrulandı,0
komplo,1
doğrulandı,0
komplo,1
resmi açıklama,0
şok gerçek,1
bilimsel veri,0
komplo,1
resmi açıklama,0
ifşa edildi,1
doğrulandı,0
gizli plan,1
resmi açıklama,0
şok gerçek,1
bilimsel veri,0
komplo,1
bilimsel veri,0
gizli plan,1
doğrulandı,0
şok gerçek,1
resmi açıklama,0
komplo,1
doğrulandı,0
ifşa edildi,1
resmi açıklama,0
şok gerçek,1
bilimsel veri,0
komplo,1
resmi açıklama,0
ifşa edildi,1
doğrulandı,0
şok gerçek,1
bilimsel veri,0
şok gerçek,1
bilimsel veri,0
gizli plan,1
resmi açıklama,0
gizli plan,1
doğrulandı,0
gizli plan,1
resmi açıklama,0
komplo,1
doğrulandı,0
komplo,1
bilimsel veri,0
gizli plan,1
doğrulandı,0
komplo,1
resmi açıklama,0
ifşa edildi,1
resmi açıklama,0
gizli plan,1
resmi açıklama,0
gizli plan,1
doğrulandı,0
gizli plan,1
bilimsel veri,0
şok gerçek,1
doğrulandı,0
komplo,1
bilimsel veri,0
gizli plan,1
doğrulandı,0
şok gerçek,1
bilimsel veri,0
şok gerçek,1
doğrulandı,0
ifşa edildi,1
bilimsel veri,0
şok gerçek,1
doğrulandı,0
gizli plan,1
bilimsel veri,0
ifşa edildi,1
doğrulandı,0
ifşa edildi,1
bilimsel veri,0
komplo,1
resmi açıklama,0
şok gerçek,1
doğrulandı,0
gizli plan,1
resmi açıklama,0
gizli plan,1
doğrulandı,0
ifşa edildi,1
bilimsel veri,0
şok gerçek,1
bilimsel veri,0
şok gerçek,1
doğrulandı,0
ifşa edildi,1
resmi açıklama,0
komplo,1
resmi açıklama,0
komplo,1
doğrulandı,0
ifşa edildi,1
bilimsel veri,0
şok gerçek,1
bilimsel veri,0
ifşa edildi,1
doğrulandı,0
gizli plan,1
bilimsel veri,0
şok gerçek,1
doğrulandı,0
ifşa edildi,1
resmi açıklama,0
ifşa edildi,1
bilimsel veri,0
ifşa edildi,1
resmi açıklama,0
ifşa edildi,1
bilimsel veri,0
ifşa edildi,1
doğrulandı,0
gizli plan,1
bilimsel veri,0
ifşa edildi,1
doğrulandı,0
ifşa edildi,1
bilimsel veri,0
ifşa edildi,1
doğrulandı,0
şok gerçek,1
bilimsel veri,0
gizli plan,1
doğrulandı,0
şok gerçek,1
doğrulandı,0
şok gerçek,1
doğrulandı,0
ifşa edildi,1
doğrulandı,0
ifşa edildi,1
resmi açıklama,0
ifşa edildi,1
doğrulandı,0
şok gerçek,1
resmi açıklama,0
gizli plan,1
resmi açıklama,0
ifşa edildi,1
doğrulandı,0
şok gerçek,1
bilimsel veri,0
gizli plan,1
bilimsel veri,0
gizli plan,1
doğrulandı,0
şok gerçek,1
bilimsel veri,0
şok gerçek,1
resmi açıklama,0
komplo,1
bilimsel veri,0
ifşa edildi,1
bilimsel veri,0
gizli plan,1
doğrulandı,0
komplo,1
resmi açıklama,0
komplo,1
doğrulandı,0
şok gerçek,1
bilimsel veri,0
ifşa edildi,1
doğrulandı,0
ifşa edildi,1
doğrulandı,0
şok gerçek,1
resmi açıklama,0
gizli plan,1
resmi açıklama,0
komplo,1
doğrulandı,0
ifşa edildi,1
resmi açıklama,0
ifşa edildi,1
bilimsel veri,0
gizli plan,1
resmi açıklama,0
komplo,1
resmi açıklama,0
ifşa edildi,1
resmi açıklama,0
gizli plan,1
doğrulandı,0
komplo,1
resmi açıklama,0
gizli plan,1
resmi açıklama,0
ifşa edildi,1
bilimsel veri,0
şok gerçek,1
resmi açıklama,0
ifşa edildi,1
resmi açıklama,0
gizli plan,1
bilimsel veri,0
gizli plan,1
resmi açıklama,0
gizli plan,1
resmi açıklama,0
komplo,1
doğrulandı,0
ifşa edildi,1
doğrulandı,0
gizli plan,1
resmi açıklama,0
gizli plan,1
bilimsel veri,0
komplo,1
doğrulandı,0
komplo,1
doğrulandı,0
gizli plan,1
doğrulandı,0
komplo,1
bilimsel veri,0
ifşa edildi,1
resmi açıklama,0
gizli plan,1
bilimsel veri,0
komplo,1
bilimsel veri,0
şok gerçek,1
resmi açıklama,0
gizli plan,1
bilimsel veri,0
şok gerçek,1
bilimsel veri,0
şok gerçek,1
resmi açıklama,0
şok gerçek,1
resmi açıklama,0
gizli plan,1
doğrulandı,0
komplo,1
bilimsel veri,0
ifşa edildi,1
bilimsel veri,0
komplo,1
bilimsel veri,0
ifşa edildi,1
resmi açıklama,0
ifşa edildi,1
doğrulandı,0
gizli plan,1
resmi açıklama,0
gizli plan,1
doğrulandı,0
şok gerçek,1
doğrulandı,0
şok gerçek,1
resmi açıklama,0
gizli plan,1
bilimsel veri,0
şok gerçek,1
bilimsel veri,0
ifşa edildi,1
resmi açıklama,0
komplo,1
doğrulandı,0
şok gerçek,1
resmi açıklama,0
gizli plan,1
resmi açıklama,0
ifşa edildi,1
bilimsel veri,0
komplo,1
bilimsel veri,0
komplo,1
bilimsel veri,0
şok gerçek,1
resmi açıklama,0
ifşa edildi,1
doğrulandı,0
ifşa edildi,1
resmi açıklama,0
şok gerçek,1
bilimsel veri,0
şok gerçek,1
doğrulandı,0
ifşa edildi,1
doğrulandı,0
şok gerçek,1
doğrulandı,0
ifşa edildi,1
bilimsel veri,0
gizli plan,1
resmi açıklama,0
ifşa edildi,1
resmi açıklama,0
ifşa edildi,1
doğrulandı,0
şok gerçek,1
resmi açıklama,0
ifşa edildi,1
bilimsel veri,0
ifşa edildi,1
doğrulandı,0
komplo,1
resmi açıklama,0
komplo,1
bilimsel veri,0
ifşa edildi,1
bilimsel veri,0
şok gerçek,1
resmi açıklama,0
şok gerçek,1
bilimsel veri,0
şok gerçek,1
doğrulandı,0
komplo,1
resmi açıklama,0
gizli plan,1
resmi açıklama,0
gizli plan,1
doğrulandı,0
gizli plan,1
resmi açıklama,0
ifşa edildi,1
doğrulandı,0
ifşa edildi,1
resmi açıklama,0
gizli plan,1
bilimsel veri,0
ifşa edildi,1
bilimsel veri,0
komplo,1
doğrulandı,0
ifşa edildi,1
doğrulandı,0
ifşa edildi,1
doğrulandı,0
gizli plan,1
bilimsel veri,0
gizli plan,1
resmi açıklama,0
şok gerçek,1
resmi açıklama,0
ifşa edildi,1
resmi açıklama,0
gizli plan,1
resmi açıklama,0
şok gerçek,1
bilimsel veri,0
komplo,1
resmi açıklama,0
ifşa edildi,1
bilimsel veri,0
komplo,1
resmi açıklama,0
şok gerçek,1
bilimsel veri,0
şok gerçek,1
bilimsel veri,0
şok gerçek,1
resmi açıklama,0
komplo,1
resmi açıklama,0
komplo,1
doğrulandı,0
şok gerçek,1
bilimsel veri,0
şok gerçek,1
doğrulandı,0
gizli plan,1
resmi açıklama,0
ifşa edildi,1
doğrulandı,0
ifşa edildi,1
resmi açıklama,0
komplo,1
doğrulandı,0
gizli plan,1
resmi açıklama,0
komplo,1
resmi açıklama,0
gizli plan,1
bilimsel veri,0
komplo,1
bilimsel veri,0
gizli plan,1
resmi açıklama,0
şok gerçek,1
doğrulandı,0
ifşa edildi,1
resmi açıklama,0
komplo,1
bilimsel veri,0
ifşa edildi,1
doğrulandı,0
gizli plan,1
doğrulandı,0
gizli plan,1
bilimsel veri,0
gizli plan,1
bilimsel veri,0
komplo,1
doğrulandı,0
ifşa edildi,1
doğrulandı,0
ifşa edildi,1
resmi açıklama,0
komplo,1
doğrulandı,0
şok gerçek,1
doğrulandı,0
ifşa edildi,1
resmi açıklama,0
şok gerçek,1
bilimsel veri,0
gizli plan,1
resmi açıklama,0
gizli plan,1
resmi açıklama,0
şok gerçek,1
resmi açıklama,0
gizli plan,1
bilimsel veri,0
ifşa edildi,1
bilimsel veri,0
ifşa edildi,1
bilimsel veri,0
şok gerçek,1
doğrulandı,0
gizli plan,1
resmi açıklama,0
şok gerçek,1
resmi açıklama,0
ifşa edildi,1
bilimsel veri,0
ifşa edildi,1
doğrulandı,0
komplo,1
doğrulandı,0
gizli plan,1
bilimsel veri,0
komplo,1
doğrulandı,0
komplo,1
doğrulandı,0
komplo,1
resmi açıklama,0
gizli plan,1
bilimsel veri,0
gizli plan,1
doğrulandı,0
ifşa edildi,1
resmi açıklama,0
şok gerçek,1
resmi açıklama,0
şok gerçek,1
bilimsel veri,0
şok gerçek,1
resmi açıklama,0
gizli plan,1
bilimsel veri,0
gizli plan,1
resmi açıklama,0
ifşa edildi,1
bilimsel veri,0
gizli plan,1
resmi açıklama,0
gizli plan,1
doğrulandı,0
ifşa edildi,1
doğrulandı,0
ifşa edildi,1
resmi açıklama,0
komplo,1
bilimsel veri,0
ifşa edildi,1
doğrulandı,0
şok gerçek,1
resmi açıklama,0
gizli plan,1
bilimsel veri,0
şok gerçek,1
bilimsel veri,0
gizli plan,1
bilimsel veri,0
ifşa edildi,1
doğrulandı,0
şok gerçek,1
doğrulandı,0
komplo,1
doğrulandı,0
ifşa edildi,1
bilimsel veri,0
ifşa edildi,1
doğrulandı,0
şok gerçek,1
resmi açıklama,0
şok gerçek,1
resmi açıklama,0
gizli plan,1
resmi açıklama,0
ifşa edildi,1
doğrulandı,0
şok gerçek,1
bilimsel veri,0
ifşa edildi,1
doğrulandı,0
komplo,1
bilimsel veri,0
gizli plan,1
doğrulandı,0
gizli plan,1
doğrulandı,0
ifşa edildi,1
bilimsel veri,0
şok gerçek,1
resmi açıklama,0
gizli plan,1
bilimsel veri,0
gizli plan,1
bilimsel veri,0
gizli plan,1
resmi açıklama,0
ifşa edildi,1
doğrulandı,0
ifşa edildi,1
doğrulandı,0
komplo,1
resmi açıklama,0
şok gerçek,1
doğrulandı,0
komplo,1
doğrulandı,0
komplo,1
doğrulandı,0
gizli plan,1
resmi açıklama,0
gizli plan,1
resmi açıklama,0
ifşa edildi,1
resmi açıklama,0
gizli plan,1
doğrulandı,0
ifşa edildi,1
resmi açıklama,0
gizli plan,1
resmi açıklama,0
ifşa edildi,1
doğrulandı,0
şok gerçek,1
doğrulandı,0
ifşa edildi,1
doğrulandı,0
ifşa edildi,1
bilimsel veri,0
şok gerçek,1
doğrulandı,0
komplo,1
resmi açıklama,0
şok gerçek,1
doğrulandı,0
şok gerçek,1
bilimsel veri,0
ifşa edildi,1
resmi açıklama,0
gizli plan,1
bilimsel veri,0
gizli plan,1
resmi açıklama,0
komplo,1
doğrulandı,0
gizli plan,1
doğrulandı,0
şok gerçek,1
bilimsel veri,0
ifşa edildi,1
doğrulandı,0
ifşa edildi,1
bilimsel veri,0
ifşa edildi,1
doğrulandı,0
ifşa edildi,1
bilimsel veri,0
komplo,1
resmi açıklama,0
gizli plan,1
resmi açıklama,0
gizli plan,1
bilimsel veri,0
gizli plan,1
resmi açıklama,0
şok gerçek,1
doğrulandı,0
komplo,1
doğrulandı,0
gizli plan,1
bilimsel veri,0
şok gerçek,1
doğrulandı,0
ifşa edildi,1
bilimsel veri,0
şok gerçek,1
doğrulandı,0
gizli plan,1
bilimsel veri,0
ifşa edildi,1
doğrulandı,0
gizli plan,1
resmi açıklama,0
gizli plan,1
doğrulandı,0
komplo,1
doğrulandı,0
şok gerçek,1
doğrulandı,0
ifşa edildi,1
resmi açıklama,0
ifşa edildi,1
bilimsel veri,0
gizli plan,1
doğrulandı,0
şok gerçek,1
resmi açıklama,0
gizli plan,1
bilimsel veri,0
komplo,1
bilimsel veri,0
komplo,1
resmi açıklama,0
gizli plan,1
bilimsel veri,0
şok gerçek,1
bilimsel veri,0
komplo,1
bilimsel veri,0
komplo,1
bilimsel veri,0
şok gerçek,1
resmi açıklama,0
şok gerçek,1
doğrulandı,0
şok gerçek,1
doğrulandı,0
şok gerçek,1
bilimsel veri,0
gizli plan,1
bilimsel veri,0
komplo,1
doğrulandı,0
şok gerçek,1
bilimsel veri,0
şok gerçek,1
doğrulandı,0
ifşa edildi,1
doğrulandı,0
gizli plan,1
resmi açıklama,0
gizli plan,1
resmi açıklama,0
komplo,1
bilimsel veri,0
gizli plan,1
resmi açıklama,0
şok gerçek,1
bilimsel veri,0
ifşa edildi,1
doğrulandı,0
gizli plan,1
bilimsel veri,0
ifşa edildi,1
bilimsel veri,0
komplo,1
resmi açıklama,0
komplo,1
bilimsel veri,0
komplo,1
resmi açıklama,0
komplo,1
resmi açıklama,0
komplo,1
doğrulandı,0
gizli plan,1
bilimsel veri,0
ifşa edildi,1
bilimsel veri,0
gizli plan,1
resmi açıklama,0
şok gerçek,1
bilimsel veri,0
ifşa edildi,1
bilimsel veri,0
komplo,1
bilimsel veri,0
ifşa edildi,1
bilimsel veri,0
gizli plan,1
bilimsel veri,0
şok gerçek,1
resmi açıklama,0
şok gerçek,1
bilimsel veri,0
ifşa edildi,1
resmi açıklama,0
komplo,1
doğrulandı,0
ifşa edildi,1
bilimsel veri,0
ifşa edildi,1
resmi açıklama,0
komplo,1
doğrulandı,0
komplo,1
doğrulandı,0
komplo,1
doğrulandı,0
gizli plan,1
resmi açıklama,0
ifşa edildi,1
doğrulandı,0
şok gerçek,1
bilimsel veri,0
komplo,1
doğrulandı,0
gizli plan,1
doğrulandı,0
şok gerçek,1
doğrulandı,0
ifşa edildi,1
doğrulandı,0
ifşa edildi,1
resmi açıklama,0
ifşa edildi,1
resmi açıklama,0
komplo,1
resmi açıklama,0
gizli plan,1
resmi açıklama,0
ifşa edildi,1
resmi açıklama,0
şok gerçek,1
bilimsel veri,0
komplo,1
resmi açıklama,0
şok gerçek,1
doğrulandı,0
gizli plan,1
doğrulandı,0
komplo,1
resmi açıklama,0
komplo,1
resmi açıklama,0
ifşa edildi,1
doğrulandı,0
gizli plan,1
resmi açıklama,0
gizli plan,1
bilimsel veri,0
ifşa edildi,1
resmi açıklama,0
komplo,1
bilimsel veri,0
komplo,1
doğrulandı,0
gizli plan,1
resmi açıklama,0
şok gerçek,1
bilimsel veri,0
komplo,1
bilimsel veri,0
ifşa edildi,1
doğrulandı,0
şok gerçek,1
resmi açıklama,0
ifşa edildi,1
resmi açıklama,0
şok gerçek,1
bilimsel veri,0
şok gerçek,1
resmi açıklama,0
komplo,1
resmi açıklama,0
gizli plan,1
doğrulandı,0
komplo,1
doğrulandı,0
komplo,1
doğrulandı,0
gizli plan,1
resmi açıklama,0
şok gerçek,1
resmi açıklama,0
gizli plan,1
doğrulandı,0
gizli plan,1
doğrulandı,0
ifşa edildi,1
bilimsel veri,0
şok gerçek,1
resmi açıklama,0
gizli plan,1
doğrulandı,0
gizli plan,1
bilimsel veri,0
komplo,1
doğrulandı,0
komplo,1
bilimsel veri,0
şok gerçek,1
resmi açıklama,0
gizli plan,1
resmi açıklama,0
komplo,1
resmi açıklama,0
gizli plan,1
doğrulandı,0
ifşa edildi,1
resmi açıklama,0
şok gerçek,1
bilimsel veri,0
ifşa edildi,1
doğrulandı,0
şok gerçek,1
doğrulandı,0
gizli plan,1
resmi açıklama,0
ifşa edildi,1
bilimsel veri,0
komplo,1
bilimsel veri,0
gizli plan,1
resmi açıklama,0
gizli plan,1
doğrulandı,0
ifşa edildi,1
doğrulandı,0
ifşa edildi,1
bilimsel veri,0
gizli plan,1
bilimsel veri,0
şok gerçek,1
bilimsel veri,0
şok gerçek,1
bilimsel veri,0
gizli plan,1
doğrulandı,0
şok gerçek,1
bilimsel veri,0
gizli plan,1
resmi açıklama,0
gizli plan,1
resmi açıklama,0
gizli plan,1
bilimsel veri,0
komplo,1
bilimsel veri,0
komplo,1
bilimsel veri,0
gizli plan,1
bilimsel veri,0
ifşa edildi,1
resmi açıklama,0
komplo,1
bilimsel veri,0
şok gerçek,1
resmi açıklama,0
gizli plan,1
bilimsel veri,0
şok gerçek,1
doğrulandı,0
gizli plan,1
bilimsel veri,0
gizli plan,1
bilimsel veri,0
komplo,1
doğrulandı,0
gizli plan,1
bilimsel veri,0
gizli plan,1
doğrulandı,0
şok gerçek,1
bilimsel veri,0
komplo,1
resmi açıklama,0
şok gerçek,1
resmi açıklama,0
şok gerçek,1
resmi açıklama,0
şok gerçek,1
doğrulandı,0
şok gerçek,1
bilimsel veri,0
şok gerçek,1
resmi açıklama,0
ifşa edildi,1
resmi açıklama,0
şok gerçek,1
resmi açıklama,0
şok gerçek,1
bilimsel veri,0
komplo,1
bilimsel veri,0
şok gerçek,1
resmi açıklama,0
komplo,1
bilimsel veri,0
şok gerçek,1
resmi açıklama,0
komplo,1
resmi açıklama,0
ifşa edildi,1
doğrulandı,0
ifşa edildi,1
resmi açıklama,0
komplo,1
resmi açıklama,0
komplo,1
resmi açıklama,0
ifşa edildi,1
resmi açıklama,0
gizli plan,1
bilimsel veri,0
şok gerçek,1
bilimsel veri,0
şok gerçek,1
resmi açıklama,0
komplo,1
doğrulandı,0
şok gerçek,1
doğrulandı,0
ifşa edildi,1
resmi açıklama,0
komplo,1
resmi açıklama,0
komplo,1
resmi açıklama,0
ifşa edildi,1
resmi açıklama,0
komplo,1
resmi açıklama,0
gizli plan,1
doğrulandı,0
gizli plan,1
bilimsel veri,0
şok gerçek,1
bilimsel veri,0
gizli plan,1
bilimsel veri,0
komplo,1
bilimsel veri,0
ifşa edildi,1
resmi açıklama,0
şok gerçek,1
doğrulandı,0
gizli plan,1
resmi açıklama,0
şok gerçek,1
doğrulandı,0
komplo,1
doğrulandı,0
şok gerçek,1
doğrulandı,0
gizli plan,1
resmi açıklama,0
şok gerçek,1
doğrulandı,0
ifşa edildi,1
bilimsel veri,0
